Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,IM,GDP,LIT,Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,33,4000,58,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,1.46,-3.74,25,4800,80,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06,0,85,2700,86,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,0.906,0.062
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,1.84,0,75,700,59,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
Estonia ,BALTICS                            ,1324333,45226,29.3,8.39,-3.16,8,12300,100,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0,0,95,700,43,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
Fiji ,OCEANIA                            ,905949,18270,49.6,6.18,-3.14,13,5800,94,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,0.37,0.95,4,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,0.42,6.27,12,8300,83,255.6,0.14,0.05,99.81,2,20.46,4.88,0.066,0.156,0.778
French Polynesia ,OCEANIA                            ,274578,4167,65.9,60.6,2.94,8,17500,98,194.5,0.82,5.46,93.72,2,16.68,4.69,0.031,0.19,0.769
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0.33,0,54,5500,63,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348
Gambia. The ,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,0.71,1.57,72,1700,40,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,19,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51,2200,75,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
Greece ,WESTERN EUROPE                     ,10688058,131940,81,10.37,2.35,6,20000,98,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,35.17,-13.92,15,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,17.19,-0.15,9,8000,90,463.8,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68
Guam ,OCEANIA                            ,171019,541,316.1,23.2,0,7,21000,99,492,9.09,16.36,74.55,2,18.79,4.48,,,
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37,-1.67,36,4100,71,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585
